시군구,행정동,정류장번호(ID),정류장명,상세위치,위도,경도,정류장설치유형,시내버스_경유노선번호,시외버스_경유노선번호,레드존여부,중앙차로여부,미세먼지 측정센서 설치여부,와이파이설치여부,안전비상벨설치여부,버스정보안내단말기(BIT) 유형,의자설치유형,바람막이설치여부,냉온풍기설치여부,공기청정기설치여부
성남시,운중동,7534,산운마을11단지,산운마을11단지앞,37.389383 ,127.074500 ,쉘터형,75(마을),해당없음,N,N,N,N,N,LCD(가로형 32''),일반의자,N,N,N
성남시,서현1동,7545,서현1동.우성아파트,시범단지우성아파트앞,37.380133 ,127.130500 ,쉘터형,"3(마을),3-2(마을),520(시내)",해당없음,N,N,N,Y,N,LED(3단6열),일반의자,N,N,N
성남시,서현1동,7546,분당구청.서현역,NH농협은행 분당센터앞,37.383400 ,127.120683 ,지주형,"누리3(시내),32(마을),602-1A(마을),3-1(마을),602(마을),누리2(시내)",해당없음,N,N,N,N,N,LED(3단6열)(양면),미설치,N,N,N
성남시,판교동,7547,불꽃교회,불꽃교회앞,37.397000 ,127.097550 ,쉘터형,"75(마을),9007(시내),누리4(시내),330(시내),4000(시내),350(시내)",해당없음,N,N,N,N,N,LCD(가로형 32''),일반의자,N,N,N
성남시,판교동,7548,불꽃교회,불꽃교회건너,37.396733 ,127.097917 ,쉘터형,"누리4(시내),330(시내),350(시내),75(마을),4000(시내),9007(시내)",해당없음,N,N,N,Y,N,LCD(가로형 32''),일반의자,N,N,N
성남시,판교동,7549,판교원마을11단지.낙원중,낙원중학교앞,37.398917 ,127.095667 ,쉘터형,"4000(시내),75(마을),330(시내),9007(시내),누리4(시내),350(시내)",해당없음,N,N,N,N,N,LCD(가로형 32''),일반의자,N,N,N
성남시,서현1동,7550,분당구청.서현역,분당구청정문앞,37.383567 ,127.119917 ,지주형,누리2(시내),해당없음,N,N,N,Y,N,LED(3단8열)(양면),미설치,N,N,N
성남시,판교동,7551,판교원마을11단지.낙원중,힐스테이트휴먼시아A11단지앞,37.398533 ,127.095783 ,쉘터형,"75(마을),330(시내),9007(시내),누리4(시내),4000(시내),350(시내)",해당없음,N,N,N,N,N,LCD(가로형 32''),일반의자,N,N,N
성남시,삼평동,7552,화랑공원동편,공원앞,37.396933 ,127.107200 ,쉘터형,"6003(시내),P9301(출근)(시내),P9243(출근)(시내),6900(시내),P9530(출근)(시내),5700A(시내),1009(시내),5700B(시내),1007(시내),P9540(출근)(시내),P9242(출근)(시내),P9241(출근)(시내),P9100(출근)(시내),P9302(출근)(시내),9507(시내),5600(시내)",해당없음,N,N,N,N,N,LED(5단16열),일반의자,N,N,N
성남시,운중동,7553,성남시운중도서관,기업은행,37.390083 ,127.075750 ,쉘터형,"4000(시내),9507(시내),340(시내),32(마을),9409(서울),4500(시내),73(마을),1007-1(시내),75(마을)",해당없음,N,N,N,N,N,LED(4단12열),일반의자,N,N,N
성남시,운중동,7554,성남시운중도서관,대광로제비앙A,37.390183 ,127.075533 ,쉘터형,"9409(서울),9507(시내),4500(시내),4000(시내),340(시내),73(마을),32(마을),1007-1(시내)",해당없음,N,N,N,Y,N,LCD(가로형 32''),일반의자,N,N,N
성남시,삼평동,7555,봇들마을9단지,금호어울림A,37.398000 ,127.116950 ,쉘터형,"9300(시내),1005(시내),76(마을),602(마을),3100(시내),341(시내),103(시내),340(시내)",해당없음,N,N,N,N,N,LCD(가로형 32''),일반의자,N,N,N
성남시,삼평동,7556,보평중고등학교,보평중학교,37.394950 ,127.116650 ,쉘터형,"103(시내),341(시내),1005(시내),9300(시내)",해당없음,N,N,N,N,N,LCD(가로형 32''),일반의자,N,N,N
성남시,백현동,7557,보평중고등학교,보평고등학교 / 나들이공원,37.394683 ,127.116967 ,쉘터형,"1005(시내),9300(시내),103(시내),341(시내)",해당없음,N,N,N,Y,N,LCD(가로형 32''),일반의자,N,N,N
성남시,삼평동,7558,봇들마을7단지,휴먼시아엔파트봇들마을7단지A,37.398083 ,127.116667 ,쉘터형,"341(시내),1005(시내),3100(시내),340(시내),9300(시내),76(마을),602(마을),103(시내)",해당없음,N,N,N,Y,N,LCD(가로형 32''),일반의자,N,N,N
성남시,서현1동,7560,이매촌한신.서현역.AK프라자,한신A건너,37.386867 ,127.125833 ,쉘터형,"33(시내),3(마을),602-1A(마을),3-1(마을),602(마을),32(마을),102(시내),7007-1(시내)",해당없음,N,N,N,Y,N,LCD(세로형 32''),일반의자,N,N,N
성남시,이매1동,7561,이매촌한신.서현역.AK프라자,한신A앞,37.388717 ,127.124300 ,쉘터형,"1150(시내),G8110(시내),9000(시내),1151(시내),M4102(시내)",해당없음,N,N,Y,Y,N,LCD(세로형 32''),온열의자,N,N,N
성남시,백현동,7562,백현마을8단지,분당흰돌교회건너,37.386383 ,127.108517 ,쉘터형,"76(마을),71(마을),720-2(시내)",해당없음,N,N,N,N,N,LED(3단6열),일반의자,N,N,N
