정류소명,정류소아이디,총승차건수,총하차건수,승차건수(카드),하차건수(카드),승차건수(현금),일평균승하차건수
둥개마을오거리,35862,28,,28,,,0
둥깨마을입구(세븐일레븐),35721,17,21,17,21,,1
둥깨마을입구(세븐일레븐),35722,80,23,79,23,1,3
둥깨마을입구(용성철강),35723,,32,,32,,1
둥깨마을입구(용성철강),35724,17,,17,,,0
뒤골입구,35668,46,2,44,2,2,1
뒤골입구,35669,2,28,2,28,,1
뒷골 입구,90377,5,13,5,13,,0
뒷골 입구,90380,24,,24,,,0
뒷방죽들,39959,852,22,852,22,,29
뒷방죽들,39960,6130,7516,6130,7516,,454
드라이빙센터,35589,51,1761,51,1761,,60
드림로갈산교,41342,285,52,285,52,,11
드림로갈산교,41343,74,878,74,878,,31
드림파크야생화단지,89363,2359,27,2297,27,62,79
드림파크야생화단지,89364,49,2420,28,2420,21,82
드무리해변,44011,25,479,24,479,1,16
드무리해변,44012,502,21,498,21,4,17
디에스솔텍,39035,3169,2376,3169,2376,,184
디에스솔텍,39038,2182,2137,2182,2137,,143
디에트로더힐,89455,4028,4803,4028,4803,,294
디에트로더힐,89464,507,2,507,2,,16
디에트르더힐(고산터널),89396,4058,6496,4058,6496,,351
뗏마루어린이공원·신화아파트,39405,4479,6623,4451,6623,28,370
라마다 인천호텔,92075,133,894,132,894,1,34
라이크홈기숙사앞,39993,1563,1445,1563,1445,,100
라이크홈기숙사앞,39994,2551,1516,2551,1516,,135
라이크홈기숙사앞,39995,901,51,901,51,,31
라이크홈기숙사앞,39996,42,426,37,426,5,15
라이프쇼핑앞,35070,5336,5118,5271,5118,65,348
라이프아파트,35060,144,6005,136,6005,8,204
라이프아파트,35062,13409,112,13354,112,55,450
"래미안아파트,파이낸셜뉴스",22905,6934,4257,6934,4257,,373
래미안아파트파이낸셜뉴스,31072,1016,2293,1016,2293,,110
래미안아파트파이낸셜뉴스,32002,3025,1742,3025,1742,,158
랜드마크시티1호수변공원,38767,17,35,17,35,,1
랜드마크시티센트럴더샵,38636,113,3728,113,3728,,128
랜드마크시티센트럴더샵(106동),38665,998,6790,997,6790,1,259
랜드마크시티센트럴더샵(106동),38666,6238,724,6225,724,13,232
랜드마크시티센트럴더샵(203동),38645,14505,1212,14505,1212,,523
랜드마크시티센트럴더샵(203동),38650,1175,12733,1175,12733,,463
럭키아파트,23488,310,162,310,162,,15
럭키아파트,38115,4379,170,4379,170,,151
럭키아파트,38132,849,8230,849,8230,,302
레이크파크,42840,1460,3876,1451,3876,9,177
레전드호텔,35639,1334,1587,1334,1587,,97
레전드호텔,35640,58,347,58,347,,13
레지던스라이크홈,92012,440,5098,440,5098,,184
로봇랜드입구,89022,3488,44,3488,44,,117
로봇랜드입구,89023,6,2201,6,2201,,73
로봇타워,89301,7,451,6,451,1,15
로봇타워,89302,699,25,697,25,2,24
로얄금속,40599,5545,3501,5538,3501,7,301
로얄아파트,37247,31286,16365,31228,16365,58,1588
로얄아파트,37424,560,295,549,295,11,28
로얄타운,42047,1711,3075,1690,3075,21,159
로얄타운,42049,1869,1501,1861,1501,8,112
로얄타운,42050,2101,1545,2083,1545,18,121
로얄호텔,43542,8,25,6,25,2,1
로얄호텔,43878,8,23,8,23,,1
롯데마트,35108,3167,4234,3158,4234,9,246
롯데마트,41390,708,15,708,15,,24
롯데마트,41391,26,2353,26,2353,,79
롯데마트,42829,18867,9234,18867,9234,,936
롯데마트,42838,9066,19838,9066,19838,,963
롯데마트계양점(고용복지센터),41227,24929,16928,24853,16928,76,1395
롯데마트계양점(고용복지센터),41424,10251,17564,10241,17564,10,927
롯데마트송도점,38523,2505,811,2503,811,2,110
롯데몰.김포공항,25174,382,1351,382,1351,,57
롯데백화점(인천터미널),37513,162309,146500,161900,146500,409,10293
롯데백화점(인천터미널),39588,153011,108531,152756,108531,255,8718
롯데슈퍼,38072,8500,2778,8499,2778,1,375
롯데슈퍼,38074,2549,7028,2538,7028,11,319
롯데슈퍼,42206,2517,4277,2510,4277,7,226
롯데슈퍼,42207,6661,2251,6604,2251,57,297
롯데아파트,38110,6557,9461,6543,9461,14,533
롯데우람아파트,42152,4943,7437,4936,7437,7,412
롯데우람아파트,42603,3924,5323,3899,5323,25,308
롯데월드타워,37327,2805,5063,2794,5063,11,262
롯데캐슬,39795,420,278,420,278,,23
롯데캐슬,39796,2610,1155,2610,1155,,125
롯데캐슬,39797,606,86,606,86,,23
롯데캐슬,39798,109,563,109,563,,22
롯데캐슬,42835,7255,5260,7236,5260,19,417
롯데캐슬,42884,4892,10115,4886,10115,6,500
롯데캐슬,42999,833,2928,830,2928,3,125
롯데캐슬.모래내시장,39309,51882,20044,51749,20044,133,2397
롯데캐슬모래내시장,39310,27840,49807,27799,49807,41,2588
롯데캐슬캠퍼스타운,39977,12,771,12,771,,26
롯데캐슬캠퍼스타운,39978,2437,2643,2437,2643,,169
롯데캐슬후문,39285,4163,4260,4149,4260,14,280
루에블리아파트,89283,2396,4476,2381,4476,15,229
루에블리아파트,89284,6208,6165,6191,6165,17,412
루원더퍼스트아파트,89107,3702,6543,3697,6543,5,341
루원더퍼스트아파트,89108,8781,1981,8767,1981,14,358
루원더퍼스트아파트105동앞,89378,122,746,122,746,,28
루원숲속마을,89383,303,1355,291,1355,12,55
루원숲속마을,89384,3,421,3,421,,14
루원시티2차리더스뷰아파트,89072,13571,11588,13549,11588,22,838
루원시티사거리,89076,1563,1006,1556,1006,7,85
